자치구명,법정동명,건물면적(㎡),물건금액(만원)
강남구,일원동,99.79,240000
강남구,역삼동,144.011,267000
강남구,개포동,108.201,240000
강남구,대치동,127.78,415000
강남구,압구정동,175.92,581000
강남구,대치동,128.01,364000
강남구,도곡동,176.992,372500
강남구,도곡동,114.96,229000
강남구,삼성동,121.931,299000
강남구,대치동,121.089,283000
강남구,개포동,132.991,515000
강남구,일원동,101.97,298000
강남구,도곡동,114.96,229000
강남구,자곡동,101.51,165000
강남구,대치동,120.76,298000
강남구,일원동,101.97,219000
강남구,역삼동,92.623,269000
강남구,신사동,127.33,585000
강남구,역삼동,102.94,87000
강남구,대치동,190.47,515000
강남구,도곡동,120.78,340000
강남구,압구정동,180.53,500000
강남구,압구정동,175.92,545000
강남구,압구정동,183.41,680000
강남구,자곡동,91.96,172000
강남구,일원동,99.79,230000
강남구,대치동,128.01,350000
강남구,압구정동,140.9,457000
강남구,대치동,126.33,355000
강남구,논현동,239.21,259000
강남구,도곡동,115.63,323000
강남구,도곡동,130.545,259000
강남구,수서동,146.713,329000
강남구,압구정동,140.9,434500
강남구,도곡동,167.74,215000
강남구,도곡동,164.95,480000
강남구,도곡동,111.39,270000
강남구,압구정동,183.41,720000
강남구,수서동,124.58,290000
강남구,개포동,105.806,239000
강남구,일원동,107.6,198000
강남구,압구정동,157.36,560000
강남구,역삼동,414.38,480000
강남구,도곡동,164.99,455000
강남구,개포동,113.808,369000
강남구,도곡동,130.545,255000
강남구,논현동,242.45,252000
강남구,자곡동,101.94,190000
강남구,수서동,97.63,162000
강남구,논현동,112.204,164000
강남구,개포동,104.43,235000
강남구,수서동,129.45,208000
강남구,압구정동,154.12,530000
강남구,대치동,126.33,360000
강남구,압구정동,102.35,333000
강남구,신사동,500.81,700000
강남구,개포동,99.919,350000
강남구,신사동,120.35,200000
강남구,압구정동,170.38,630000
강남구,개포동,165.08,365000
강남구,압구정동,245.2,1150000
강남구,신사동,120.35,200000
강남구,압구정동,196.21,740000
강남구,논현동,85.12,133000
강남구,대치동,149.78,423000
강남구,역삼동,136.28,340000
강남구,압구정동,170.38,650000
강남구,일원동,107.6,203000
강남구,논현동,97.943,120000
강남구,개포동,133.46,295000
강남구,삼성동,208.68,378000
강남구,개포동,132.817,450000
강남구,개포동,106.987,445000
강남구,개포동,132.817,450000
강남구,일원동,101.97,227000
